code,ko,대륙,상징물,카테고리,선정근거,예비1,예비2,명소,명소도시,명소등급,수도에있음,기존fact재사용,위험,상태
vn,베트남,아시아,"쌀국수 포 — 맑은 국물에 하얗고 납작한 국숫발이 가득 든 큰 사발. 위에 초록 허브 잎과 얇은 파 고리가 얹히고, 옆에 숙주 한 접시와 라임 조각이 놓임",먹을거리,"4순위 · fact가 이미 '쌀국수 포가 아주 유명해요'라고 말해 음원을 그대로 쓴다(신규 음원 0개). 국기 1순위는 노란 별 하나뿐이라 '국기 별' 20중 혼동군에 들어가고, 국화 연꽃은 eg 이집트 연꽃·gy 빅토리아 수련과 겹쳐 제외",용과 — 겉은 진분홍에 초록 비늘이 삐죽 나고 반으로 자르면 검은 깨 같은 씨가 박힌 하얀 속이 나오는 열매,투옌 퉁 — 대나무를 소쿠리처럼 동그랗게 엮어 만든 1인용 바구니 배. 뱃머리·고물이 없이 완전한 원형이고 노 하나로 빙그르 돎,바위섬이 가득한 하롱베이,하롱,A,,"바위섬이 가득한 하롱베이가 있고, 쌀국수 '포'가 아주 유명해요","포는 it 예비1 파스타와 '면 요리'로 묶이니 같은 판 배제(포는 국물 사발, 파스타는 마른 면). 상징물 음원은 기존 fact를 그대로 써 신규 0개. 하롱베이 그림에 배를 그리지 말 것 — 예비2 바구니 배와 한 나라 안에서 겹친다. 예비2 승격 시 kw·la·mt·no·th 나무배 군과 같은 판 배제 필요하고, mw 예비1 '대나무·갈대로 엮은 고기잡이 통발'과 4세에게 같은 그림이니 둘을 동시에 승격하지 말 것. 논라는 모자 6중 해소로 폐기했고 다시 올리지 말 것",final
ye,예멘,아시아,용혈수(우산처럼 생긴 나무),식물,"5순위 · 국기가 줄무늬뿐이라 1~4순위 없음. 소코트라섬에만 자라는 세계 유일 나무, fact에 이미 있음",,소코트라 사막장미 나무,흙벽돌 고층 마을 시밤,시밤,B,,소코트라섬에는 우산처럼 생기고 빨간 수액이 나오는 신기한 나무가 있어요,분쟁 지역이라 인물·정치 요소 전면 배제. 용혈수는 형태가 워낙 독특해 4세 변별력 A급이지만 붉은 수액 묘사는 피(血) 연상 우려가 있어 나무 형태만 그릴 것,final
ad,안도라,유럽,빨간 소 두 마리,동물,1순위 · 국기 가운데 방패의 네 칸 중 베아른 구역에 빨간 소 두 마리가 실제로 그려져 있음 (ad.svg 확인),피레네 눈 덮인 산길,노랑 바탕에 빨간 굵은 세로줄 네 개가 그려진 무늬(방패 전체·주교관·지팡이는 그리지 말 것),,,,,,"상징물·예비 모두 국기 방패 전체를 부르지 말 것 — 방패의 다른 칸에 주교 관·지팡이(종교 표장)가 있다(규칙4). 상징물은 빨간 소 두 마리만 떼어내 그리고, 예비2도 '노랑 바탕 빨간 세로줄' 무늬만 그린다. 소는 by 유럽들소·md 들소 머리·nl 젖소·sz 응구니 소와 혼동군이라 quiz.js에서 같은 판 배제",final
al,알바니아,유럽,머리가 둘 달린 검은 독수리,동물,1순위 · 국기 한가운데 그려진 쌍두 독수리 + fact가 '독수리의 나라'로 설명,눈 덮인 알바니아 알프스 산봉우리,붉은 바탕의 알바니아 국기,"베라트 옛 마을 — 가파른 언덕에 하얀 집들이 앞집 발치에 지붕이 닿을 만큼 층층이 포개져 있고, 집마다 큰 네모 창이 벽을 가득 채워 창문 격자만 보이는 '창문 천 개 도시'",베라트,B,,알바니아는 국토 대부분이 산과 언덕이라 '독수리의 나라'로 불려요.,독수리 중복 — 폴란드(하얀 왕관 독수리)와 색·머리 수로 반드시 구분해서 그릴 것,final
at,오스트리아,유럽,하얀 별 모양 에델바이스 꽃,식물,"2순위 · 오스트리아 국화이자 알프스 상징, 옛 실링 동전에도 새겨짐",알프스 영양(샤무아),자허토르테 초콜릿 케이크,빈의 커다란 빨간 대관람차,빈,A,Y,,대관람차는 런던아이·요코하마 관람차와 형태가 겹침 — 빨간 나무 곤돌라 상자 모양을 반드시 살릴 것,draft
ba,보스니아헤르체고비나,유럽,금빛 수술이 달린 보스니아 백합,식물,2순위 · 보스니아 고유종 백합으로 옛 국장과 현재까지 국가 상징 꽃으로 쓰임,구리판에 망치로 두드려 무늬를 낸 사라예보 구리 접시,,강 위로 높이 솟은 모스타르 아치 돌다리,모스타르,A,,오래된 돌다리 위에서 강으로 뛰어내리는 다이빙 대회가 열려요.,,final
be,벨기에,유럽,네모 칸이 깊게 파인 와플,먹을거리,"4순위 · fact가 직접 지목, 세계적으로 '벨기에 와플'로 1:1 고정",감자튀김 종이 봉지,나무 틀로 꽃·별 무늬를 찍은 갈색 스페퀼로스 과자,,,,,"감자튀김과 초콜릿, 와플이 유명하고 만화 '땡땡'이 태어난 나라예요.",아토미움은 설계자 저작권이 실제로 행사되고 있어 명소에서 제외함,final
bg,불가리아,유럽,분홍 장미 한 송이,식물,2순위 · 불가리아 국화이며 fact의 '장미 골짜기·장미 축제'와 직결,하얀 요구르트 그릇,불가리아 전통 빨간 자수,"릴라 수도원의 검정·하양 줄무늬 아치 복도와 마당 — 외관 실루엣만, 성상·제단·의식·신도·내부 없음",릴라,B,,불가리아의 '장미 골짜기'에서는 해마다 장미 축제가 열려요.,종교 시설 — 성상·제단은 빼고 흑백 줄무늬 아치와 마당만 그릴 것,final
by,벨라루스,유럽,숲속의 유럽들소,동물,4순위 · fact에 이미 국가 상징 동물로 서술됨(비아워비에자 들소),국기 왼쪽의 빨간 자수 무늬 띠,지붕 위 둥지에 선 하얀 황새(붉은 부리·붉은 다리),,,,,유럽에서 가장 큰 야생 동물인 유럽들소가 벨라루스 숲에 살아요.,상징물(유럽들소)과 명소(비아워비에자 숲)가 사실상 같은 소재라 규칙2로 명소를 비웠다 — 되살리지 말 것. 예비2 파란 수레국화는 ee 상징물과 문자 그대로 겹쳐 하얀 황새로 교체했다,final
ch,스위스,유럽,구멍이 숭숭 뚫린 노란 치즈 덩어리,먹을거리,"4순위 · fact가 치즈를 직접 지목, '구멍 뚫린 치즈=스위스'는 세계적 1:1",네모 초콜릿,알프호른(긴 나팔),삼각형으로 뾰족한 마터호른 눈산,체르마트,S,,"알프스 산맥의 눈 덮인 봉우리가 많고, 달콤한 초콜릿과 치즈로 유명해요","스위스 아미 나이프는 칼(무기)이라 제외. 초콜릿은 벨기에와 겹치므로 벨기에=와플, 스위스=치즈로 분리",draft
cy,키프로스,유럽,바닷가에 앉은 키프로스 고양이,동물,"4순위 · fact가 '길고양이가 아주 많이 산다'고 명시, 키프로스 고양이는 4천 년 된 이 섬 고유의 문화 아이콘",,구리색 섬 모양,,,,,"지중해에서 세 번째로 큰 섬이고, 길고양이가 아주 많이 살아요.",국기(1순위)는 올리브 가지지만 올리브를 그리스에 배정해 예비로 내림 — 아빠 확인 필요,final
cz,체코,유럽,줄에 매달린 나무 꼭두각시 인형,만든것,"4순위 · 체코·슬로바키아 인형극이 유네스코 무형유산, 프라하 골목마다 파는 체코 고유 물건",,보헤미아 유리컵,프라하 광장의 인형이 나오는 커다란 천문시계,프라하,A,Y,600년이 넘은 천문시계가 매시 정각마다 인형 쇼를 보여줘요.,상징물(인형)과 명소(시계) 둘 다 fact 한 문장 안에 있어 음원 재사용 가능,final
de,독일,유럽,굵은 소시지,먹을거리,"4순위 · fact가 '소시지 종류 1,500가지'로 명시, 독일이 스스로 내세우는 일상 음식",하트 모양 프레첼,,산 위에 솟은 노이슈반슈타인 성,퓌센,A,,"소시지 종류가 1,500가지가 넘고, 속도 제한이 없는 고속도로가 있어요.",국장 독수리는 알바니아·폴란드와 중복이라 예비로 내림. 노이슈반슈타인은 특정 테마파크 성과 닮았으므로 실제 사진 비례(길쭉한 몸체+가운데 높은 탑)로,final
dk,덴마크,유럽,알록달록 플라스틱 블록,만든것,"4순위 · fact가 '덴마크에서 처음 만들어졌다'고 명시, 세계적 1:1",하얀 백조(국조),빨강 바탕 하얀 십자 국기,코펜하겐 뉘하운 운하의 알록달록한 집들,코펜하겐,A,Y,"덴마크에서 레고 블록이 처음 만들어졌고, 안데르센 동화도 여기서 태어났어요.",상표 위험 — 로고·돌기 각인 없는 일반 블록으로 그릴 것. 인어공주 동상은 상속인 저작권 행사 중이라 명소에서 제외,draft
ee,에스토니아,유럽,파란 수레국화,식물,"2순위 · 에스토니아 공식 국화, 국기의 파랑과 같은 색",제비(국조),자작나무 숲,"탈린 옛 마을 — 돌로 쌓은 성벽을 따라 빨간 고깔 모양 원뿔 지붕을 쓴 둥근 탑들이 줄지어 붙어 있고, 성벽 안쪽으로 붉은 기와 지붕과 초록빛 뾰족 첨탑이 솟음",탈린,B,Y,,수레국화는 벨라루스에서도 쓰이는 꽃 — 벨라루스는 들소로 갔으므로 충돌 없음,final
es,스페인,유럽,빨간 물방울무늬 플라멩코 치마,입는것,"4순위 · 스페인이 국가 브랜드로 쓰는 전통 복식(트라헤 데 플라멩카), 안달루시아 축제 정식 의상",넓은 팬에 담긴 파에야,나무 기타,"뾰족뾰족 솟은 사그라다 파밀리아(가우디 시대 파사드) — 외관 실루엣만, 성상·의식·신도·내부 없음",바르셀로나,A,,"100년 넘게 짓고 있는 커다란 성당이 있고, 토마토를 던지는 축제도 열려요",가우디(1926년 사망)의 설계는 저작권이 끝났으나 지금 올리고 있는 첨탑부는 현대 설계 — 가우디 시대 파사드 위주로 그릴 것. 종교 건물이므로 외관 실루엣만. 저작권이 걱정되면 구엘 공원의 모자이크 도마뱀으로 교체 가능(4세 인지는 오히려 더 좋음). 투우는 동물 학대라 제외,final
fi,핀란드,유럽,나무 사우나와 물바가지,만든것,"4순위 · 핀란드 사우나는 2020년 유네스코 무형유산 등재, 인구보다 사우나가 흔한 핀란드 고유 생활",,은방울꽃(국화),눈 덮인 침엽수 숲과 그 사이를 걷는 순록 — 라플란드의 겨울 숲(건물·시설·간판·썰매·사람 없음),로바니에미,B,,"호수가 18만 개나 있고, 산타클로스 마을이 있는 나라예요.","사우나에 사람을 그리지 말 것(맨몸) — 빈 나무방, 돌난로, 김만. 무민은 저작권으로 제외",final
fr,프랑스,유럽,기다란 바게트 빵,먹을거리,"4순위 · 2022년 유네스코 무형유산 '바게트 제빵 기술', 프랑스가 스스로 신청해 올린 것",갈리아 수탉,크루아상,에펠탑(낮 모습),파리,S,Y,에펠탑은 여름에 쇠가 늘어나서 키가 15cm쯤 커져요.,"혼동쌍 — 도쿄타워. 에펠탑은 4개 다리와 아치, 갈색 철골로. 야간 조명 연출은 저작권 대상이므로 반드시 낮 그림만",draft
gb,영국,유럽,빨간 이층 버스,만든것,"4순위 · fact가 직접 지목, 세계적으로 영국과 1:1로 묶이는 일상 탈것",빨간 공중전화 부스,김이 나는 찻잔,강가에 선 커다란 시계탑 빅벤,런던,A,Y,"빨간 이층 버스와 커다란 시계탑이 있고, 해리 포터 이야기가 태어난 곳이에요",혼동쌍 — 부다페스트 국회의사당(규칙 8 명시). 그래서 헝가리 명소를 온천으로 돌림. 근위병은 군인이라 제외,draft
gr,그리스,유럽,파도 위로 뛰어오르는 돌고래,동물,2순위 · 올리브는 그리스 국목이며 고대부터 아테네의 상징,검은 그림이 그려진 고대 그리스 항아리(암포라),월계관,산토리니의 파란 지붕 하얀 집 마을,산토리니,A,,,키프로스 국기의 올리브 가지와 중복 — 그리스가 가져가고 키프로스는 고양이로. 파르테논은 4세에게 콜로세움과 구분 불가(혼동쌍)라 명소에서 제외,final
hr,크로아티아,유럽,점박이 강아지 달마시안,동물,"4순위 · fact가 크로아티아 달마티아를 고향으로 명시, 세계적 1:1",빨강·하양 체크무늬 방패(국기),목에 두르는 크라바트(넥타이),플리트비체의 계단처럼 이어진 폭포와 옥색 호수,플리트비체,A,,점박이 강아지 달마시안의 고향이 크로아티아의 달마티아 지방이에요.,달마시안은 101마리 애니메이션 캐릭터 연상 — 캐릭터풍이 아닌 실제 개 그림으로,draft
hu,헝가리,유럽,여섯 면이 알록달록한 정육면체 퍼즐,만든것,"4순위 · fact가 '헝가리가 처음 만든 것'으로 명시, 세계적 1:1",빨간 파프리카,,부다페스트 세체니의 노란 건물 야외 온천,부다페스트,B,Y,"루빅큐브를 처음 만든 나라이고, 온천물이 솟는 곳이 아주 많아요.",상표 위험 — 브랜드 로고 없는 일반 색 큐브로. 부다페스트 국회의사당은 규칙 8의 명시 혼동쌍(런던 국회)이라 명소에서 제외함,final
ie,아일랜드,유럽,초록 세잎클로버,식물,2순위 · 아일랜드가 국가 표장으로 등록해 정부·항공사가 공식 사용하는 샴록,금색 하프(국장),초록 들판의 양,바다 위로 깎아지른 모허 절벽,리스캐너,B,,초록 들판이 끝없이 펼쳐져 '에메랄드 섬'이라는 별명이 있어요.,,draft
is,아이슬란드,유럽,주황 부리의 퍼핀 새,동물,"4순위 · 세계 퍼핀의 절반 이상이 아이슬란드에서 번식, 아이슬란드가 대외적으로 내세우는 상징 새",아이슬란드 조랑말,,하늘로 물기둥이 솟는 게이시르 간헐천,하우카달루르,A,,화산과 빙하가 함께 있어서 '얼음과 불의 나라'라고 불려요.,,final
it,이탈리아,유럽,조각 나뉜 둥근 피자,먹을거리,"4순위 · fact가 '피자와 파스타의 고향'으로 명시, 나폴리 피자 장인 기술은 유네스코 무형유산",돌돌 감긴 파스타,콘에 얹은 젤라토,기울어진 피사의 사탑,피사,S,,"장화처럼 생긴 땅 모양으로 유명하고, 피자와 파스타의 고향이에요.",콜로세움은 파르테논과 혼동쌍(규칙 8)이라 제외 — 기울어짐 하나로 즉시 구별되는 사탑 채택,draft
li,리히텐슈타인,유럽,알프스 풍경이 그려진 톱니 테두리 우표,만든것,"1순위 · 국기에 실제로 그려진 금관 (li.svg), 국기에 왕관만 단독으로 그린 나라는 드물어 1:1 성립",알프스 눈 덮인 봉우리,,파두츠 성 — 포도밭 계단이 깔린 산비탈에 홀로 얹힌 작고 나지막한 하얀 성. 네모난 굵은 탑 하나와 붉은 지붕뿐이고 뾰족탑이 없음. 뒤로 알프스 능선,파두츠,B,Y,,"성·요새 혼동군(de·lt·ro·li + om·qa·sy) — 결정 A에 따라 다 그리되 파두츠는 '포도밭 비탈 위 작고 낮은 하얀 성, 네모 탑 하나, 뾰족탑 없음'으로 잡고 quiz.js에서 같은 판 배제. 상징물은 결정 B대로 우표를 유지하고(되돌리지 말 것) 톱니 테두리와 액면 숫자를 크게 강조해 명소 배경의 알프스와 겹쳐 보이지 않게 할 것. 파두츠 성이 명소로 돌아왔으므로 예비에는 같은 성을 두지 않는다",final
lt,리투아니아,유럽,속이 비치는 노란 호박(앰버) 돌,땅과하늘,"5순위 · '발트의 금'으로 불리는 리투아니아 대표 광물, 국가가 관광·문화 상징으로 공식 사용",농구공,루타 꽃(국화),호수 한가운데 붉은 벽돌 트라카이 성,트라카이,A,,농구를 무척 좋아해서 온 나라가 함께 응원하는 국민 운동이에요.,국장은 백마 탄 기사(칼·창)라 무기 규칙으로 제외. 십자가 언덕은 종교 소재라 명소에서 제외,draft
lu,룩셈부르크,유럽,두 갈래 꼬리를 가진 빨간 사자,동물,3순위 · 룩셈부르크 국장과 대공기의 왕관 쓴 붉은 사자,'붉은 땅' 미네트에서 캔 붉은 철광석 덩어리,,깊은 골짜기 위 절벽에 선 옛 도시와 돌 아치 다리,룩셈부르크,B,Y,,사자 중복 위험이 가장 큰 항목 — 스리랑카·에티오피아·케냐·싱가포르가 아직 미배정. 룩셈부르크는 '실물 사자'가 아니라 빨강·파랑 줄무늬 위의 문장(紋章) 사자(두 갈래 꼬리·왕관)로만 그려 실물 사자와 겹치지 않게 할 것,final
lv,라트비아,유럽,하얀 꽃잎 데이지,식물,"2순위 · 라트비아 공식 국화(큰데이지), 하지 축제 화관에 쓰는 꽃",커다란 참나무,흰할미새(국조),"리가 검은머리 전당 — 자갈 광장에 홀로 선, 좁고 높은 붉은 벽돌 건물 한 채. 지붕 윤곽이 계단처럼 한 칸씩 층져 올라가고 벽면에 금빛 시계와 금장식이 박힘",리가,B,Y,국토의 절반이 숲이어서 나무와 새가 아주 많은 나라예요.,데이지는 세계적으로 흔한 꽃이라 나라와 1:1 연결이 약함 — 국화라는 근거는 분명하나 아빠 확인 필요,final
mc,모나코,유럽,번호 붙은 빨간 경주용 자동차,만든것,"4순위 · fact가 '좁은 도시 도로에서 열리는 자동차 경주'로 명시, 모나코 그랑프리는 이 나라가 스스로 만든 100년 된 행사",,빨강·하양 두 칸 국기,요트가 가득 들어찬 모나코 항구 — 흰 요트 돛대가 촘촘히 늘어선 부두(궁전·성·요새 그리지 않음),모나코,B,Y,좁은 도시 도로에서 자동차 경주 대회가 열리는 아주 작은 나라예요.,실제 팀 로고·스폰서 문양 없이 그릴 것. 몬테카를로 카지노는 도박 소재라 제외,final
md,몰도바,유럽,탐스러운 포도송이,먹을거리,"4순위 · fact가 '온 나라에 포도밭'으로 명시, 몰도바 국장 아래에도 포도 가지가 있음",들소 머리(국장),,,,,,온 나라에 포도밭이 펼쳐져 있어서 포도로 아주 유명해요.,포도를 와인으로 연출하지 말 것(술 금지) — 열매 자체만. 들소는 벨라루스와 중복이라 예비,final
me,몬테네그로,유럽,검게 보이는 험한 바위 산봉우리,땅과하늘,"5순위 · 나라 이름 자체가 '검은 산'이고 fact가 그 뜻을 설명, 로브첸 산이 국가 정체성",숲 사이로 깊게 갈라진 타라 협곡,,바다로 이어진 작은 섬마을 스베티스테판,스베티스테판,A,,"나라 이름이 '검은 산'이라는 뜻이고, 높은 산과 푸른 바다가 있어요.",산 소재는 스위스(마터호른)·슬로바키아(타트라)와 겹칠 수 있음 — 몬테네그로는 '바다 바로 뒤에 솟은 검은 바위산'으로 바다를 함께 넣어 구별,final
mk,북마케도니아,유럽,붉게 익은 고추 한 다발,먹을거리,1순위 · 국기 가운데 그려진 태양 (mk.svg 기술과 flagHint 일치),국기에 그려진 굵은 삼각 빛줄기 여덟 개의 노란 해,,호숫가 절벽에 붙은 붉은 기와 마을과 물 위로 놓인 나무 산책 다리가 보이는 오흐리드 호수,오흐리드,B,,유럽에서 가장 오래된 호수 가운데 하나인 오흐리드 호수가 있어요.,"해 소재 혼동 — 일본(붉은 원), 아르헨티나·우루과이(얼굴 있는 해), 키리바시(반쪽 해)와 반드시 구분. 북마케도니아는 '굵은 삼각 빛줄기 8개'가 식별 포인트",final
mt,몰타,유럽,눈이 그려진 알록달록 나무배 루쭈,만든것,"4순위 · 몰타 어부들이 지금도 쓰는 전통 배, 뱃머리의 '오시리스의 눈'까지 몰타 고유",팔각 몰타 십자,몰타 허니(꿀),,,,,"지중해의 작은 섬나라로, 5천 년이 넘은 돌 신전이 남아 있어요.",몰타 십자는 기사단(군사·종교) 상징이라 예비로 내림. 거석 신전은 4세에게 '그냥 돌더미'로 보일 수 있어 tier B,final
nl,네덜란드,유럽,노란 나무 나막신,입는것,"4순위 · 네덜란드 사람들이 실제로 신어온 클롬펀, 세계적으로 네덜란드와 1:1",빨간 튤립,검정 젖소,킨더다이크 강둑에 줄지어 선 풍차,킨더다이크,S,,바다보다 낮은 땅이 많아서 둑을 쌓고 풍차로 물을 퍼냈어요.,풍차를 상징물이 아니라 명소로 돌려 스페인 라만차 풍차와의 충돌을 피함,draft
no,노르웨이,유럽,용머리가 달린 바이킹 나무배,만든것,"4순위 · 오세베르그·고크스타 배가 노르웨이에서 발굴된 국보, 노르웨이가 국가 정체성으로 내세움",노르웨이 사람들이 겨울에 신는 '셀부' 눈꽃무늬 털장갑,,절벽과 폭포가 둘러싼 게이랑에르 피오르,게이랑에르,A,,빙하가 깎아 만든 깊고 좁은 바닷길 피오르가 아주 유명해요.,배에 방패·창 등 무기 장식을 넣지 말 것. 스웨덴 바사호(나무 큰 배)와 겹치지 않게 스웨덴 명소는 다른 것으로 배정함,final
pl,폴란드,유럽,반달 모양 피에로기 만두,먹을거리,3순위 · 폴란드 국장 그 자체(빨간 방패 위 왕관 쓴 흰 독수리),알록달록한 종이를 대칭으로 오려 만든 폴란드 종이꽃 '비치난키',파란 물방울무늬 도자기,소금 결정이 박힌 지하 갱도와 소금 덩어리(킹가 예배당 조각·샹들리에 제외),비엘리치카,B,,"피아노의 시인 쇼팽이 태어난 나라이고, 소금 광산 속에 소금으로 만든 성당이 있어요","독수리 중복(알바니아) — 폴란드는 '하얀 몸 + 금 왕관 + 머리 하나', 알바니아는 '검은 몸 + 머리 둘'로 색과 머리 수를 확실히 대비시킬 것. 소금 광산은 성당 부분(종교) 말고 소금 기둥·샹들리에·지하 호수만",final
pt,포르투갈,유럽,겉이 바삭하고 윗면이 그을린 에그타르트,먹을거리,"4순위 · fact가 '포르투갈에서 처음 만들어졌다'고 명시, 파스텔 드 나타는 세계적 1:1",파란 그림 타일 아줄레주,코르크참나무 껍질,리스본 언덕길을 오르는 노란 전차,리스본,A,Y,"유럽 대륙에서 가장 서쪽 끝에 있는 땅이 있고, 달콤한 에그타르트가 처음 만들어졌어요",,draft
ro,루마니아,유럽,꽃 자수가 놓인 하얀 블라우스 '이에',입는것,"2순위 · 2022년 유네스코 무형유산 등재, 루마니아가 직접 신청해 올린 전통 복식",닭 무늬를 그린 루마니아 호레즈 도자기 접시,들장미(국화),"브란 성 — 짙은 전나무 숲 언덕 위에 좁고 높이 솟은 하얀 벽의 성. 빨간 기와를 얹은 작고 뾰족한 탑이 여러 개 층층이 붙어 있고 창이 작음. 반드시 밝은 낮과 맑은 하늘, 무섭게 그리지 말 것",브란(브라쇼브),A,,드라큘라 이야기의 무대가 된 트란실바니아 숲과 오래된 성이 있어요,"브란 성은 성 혼동군(de·lt·li)이나 결정 A에 따라 그리되 '좁고 높은 하얀 몸체 + 빨간 기와 뾰족탑 여럿'으로 못박고 quiz.js에서 같은 판 배제. 반드시 밝은 낮, 드라큘라 연출 금지. 국장 독수리는 al·pl과 삼중이라 제외하고, 예비1은 카르파티아 갈색곰이 ru 예비1과 겹쳐 호레즈 도자기로 교체했다",final
rs,세르비아,유럽,빨갛게 익은 라즈베리,먹을거리,4순위 · 세르비아는 세계 최대 라즈베리 수출국이며 정부가 '빨간 금'으로 부르는 국가 대표 작물,,자두,드리나강 강 한가운데 바위 위의 작은 집,바이나바슈타,A,,,fact 속 조코비치는 실존 인물이라 소재에서 제외,final
ru,러시아,유럽,안에서 계속 나오는 마트료시카 인형,만든것,4순위 · 러시아 고유의 목각 인형으로 세계적 1:1,갈색 큰곰,,"알록달록 양파 지붕이 솟은 성 바실리 대성당 — 외관 실루엣만, 성상·의식·신도·내부 없음",모스크바,S,Y,,"체코 꼭두각시 인형과 같은 '인형' 계열 — 마트료시카는 통통한 알 모양, 체코는 줄에 매달린 팔다리 인형으로 형태를 확실히 구분. 성 바실리는 종교 건물이라 외관 실루엣만, 성상·내부 금지",final
se,스웨덴,유럽,꽃무늬가 그려진 빨간 나무 말,만든것,4순위 · 달라나 지방의 달라헤스트는 스웨덴 정부가 국가 상징 기념품으로 공식 사용,접시에 담긴 미트볼,파랑 바탕 노란 십자 국기,스톡홀름 스토르토리에트 광장 — 노랑·주황·빨강으로 칠한 좁고 높은 집 네댓 채가 어깨를 맞대고 나란히 선 자갈 광장. 물도 배도 없음,스톡홀름,B,Y,,바사호(거대한 나무 배)는 노르웨이 바이킹 배와 4세에게 같은 그림이라 명소에서 제외. fact 속 노벨은 실존 인물이라 소재 제외,final
si,슬로베니아,유럽,하얀 리피자너 말,동물,"2순위 · 리피차 마을이 원산지인 슬로베니아 대표 말, 국가가 문화유산으로 지정해 관리",동굴에 사는 '아기 용' 올름,트리글라브 세 봉우리 흰 산(국기),"블레드 호수 한가운데 작은 초록 섬 — 섬 위 건물은 외관 실루엣만, 성상·의식·신도·내부 없음",블레드,S,,"땅의 절반 넘게 숲으로 덮여 있고, 호수 가운데 작은 섬에 성당이 있어요",국기의 트리글라브 산(1순위)은 몬테네그로·슬로바키아 산 소재와 삼중으로 겹쳐 예비로 내림. 블레드 섬은 성당 건물보다 '호수 한가운데 섬'이라는 구도를 주인공으로,final
sk,슬로바키아,유럽,키보다 긴 나무 피리 푸야라,만든것,"2순위 · 2005년 유네스코 무형유산 등재된 슬로바키아 고유 목동 악기, 길이가 2m 가까워 형태가 유일무이",양젖 치즈를 얹은 감자 수제비(브린조베 할루슈키),산 세 봉우리와 두 줄 십자 방패(국장),"슈트르보스케 플레소 — 바늘처럼 뾰족한 회색 화강암 봉우리 바로 아래, 짙은 전나무 숲에 폭 싸인 작고 동그란 초록빛 호수. 물가에 나무 오두막 한 채",슈트르브스케플레소(고타트라),B,,,국장의 두 줄 십자는 종교 상징이라 예비로도 신중히. 타트라 산은 다른 산 소재(몬테네그로·스위스)와 겹치므로 '바늘처럼 뾰족한 회색 봉우리 + 초록 호수'로 특징을 잡을 것,final
sm,산마리노,유럽,바위산 꼭대기에 선 탑 세 개,만든것,1순위 · 국기 방패에 그려진 세 개의 탑 (sm.svg) + fact가 같은 소재를 설명,깃털 장식 방패,,,,,,"이탈리아 안에 쏙 들어가 있는 작은 나라이고, 산꼭대기에 오래된 탑 세 개가 서 있어요",대표 명소가 상징물과 완전히 같은 소재라 명소는 비움 — 한 나라에 같은 그림 두 장이 되는 것을 피함,final
ua,우크라이나,유럽,고개 숙인 커다란 해바라기,식물,"2순위 · 우크라이나 국화이자 fact가 '끝없는 해바라기밭'으로 명시, 국기의 파랑·노랑과 같은 구도",황금빛 밀 이삭,페트리키우카 꽃 그림,클레반의 초록 나무가 덮은 '사랑의 터널' 기찻길,클레반,A,,끝없이 펼쳐진 해바라기밭과 밀밭 덕분에 '유럽의 빵 바구니'라고 불려요,전쟁 관련 이미지·군사 요소가 섞이지 않도록 주의. 키이우 황금 돔 성당은 종교+돔 혼동 문제로 제외,draft
va,바티칸,유럽,위에서 내려다본 두 줄 나선 계단(바티칸 박물관의 달팽이 계단),만든것,1순위 · 국기 하얀 쪽에 그려진 교차 열쇠 (va.svg),가운데서 세로로 나뉜 노랑·하양 두 칸 바티칸 국기,,"성 베드로 대성당과 광장의 둥근 기둥 회랑 — 외관 실루엣만, 성상·의식·신도·내부 없음",바티칸시티,B,Y,,"결정 C에 따라 명소(성 베드로 외관)는 유지하되 외관 실루엣만 — 성상·십자가상·의식·신도·내부 금지. 상징물은 교황 열쇠(종교 표장)라 교체했다: 삼중관도 종교 표장, 스위스 근위대는 군인 + 미늘창이라 예비에서도 뺐다. 대체한 나선 계단은 설계자 주세페 모모(1875~1940) 사후 70년이 지나 저작권 만료 — 사진 모사가 아니라 위에서 내려다본 이중 나선 형태만. 예비가 모두 비어 벤치가 0칸이 되므로 국기색(노랑·하양 두 칸)을 예비1로 넣었다. ※ 상징물 교체는 아빠 확인 필요",final
