"code","kind","koApprove","subjectEn","inCapital","override유무","substitutedFrom","status","tries","생성일"
"it","landmark","피사의 사탑","A single Leaning Tower of Pisa, a cream cylindrical tower visibly tilting to one side, with six open arched galleries between a solid lower level and a smaller round bell chamber.","false","Y","","approved-image","1","2026-09-15"
"jm","symbol","닥터버드","A single male doctor bird hovering, with an emerald green breast and belly, a black crown, dark green grey wings, a red bill and two very long black ribbonlike tail feathers.","false","N","","approved-image","2","2026-09-15"
"jm","landmark","던스리버 폭포","A single Dunn's River waterfall, white water descending across broad low limestone steps between green trees, continuing onto a narrow sandy beach and directly into blue sea.","false","N","","approved-image","1","2026-09-15"
"jo","symbol","검은 붓꽃","A single black iris flower on a short green stem, with three upright dark purple petals, three wide downward curling petals and small pale markings near the center.","false","N","","approved-image","1","2026-09-15"
"jo","landmark","페트라 알카즈네","A single Petra Treasury facade carved into rose-colored rock, with six lower columns, a triangular lower pediment and a round central upper structure between split pediments.","false","Y","","approved-image","2","2026-09-15"
"jp","symbol","벚꽃","A single short cherry blossom branch bearing three pale pink flowers, each flower with exactly five rounded notched petals and a small yellow center, alongside two closed pink buds.","false","N","","approved-image","1","2026-09-15"
"jp","landmark","후지산","A single Mount Fuji, one broad symmetrical volcanic cone with gently sloping blue sides, a small flattened summit, and a white snow cap descending in uneven fingers around its peak.","false","N","","approved-image","1","2026-09-15"
"ke","symbol","마사이 목걸이","One broad circular Maasai bead necklace forms a flat colorful collar, with concentric rows of small red, blue, yellow and white beads around an open center, laid out without a wearer.","false","N","","approved-image","1","2026-09-15"
"ke","landmark","홍학으로 덮인 호수","One Lake Nakuru scene is filled with a dense distant flock of pink flamingos across pale blue shallow water, their many curved necks and slender legs forming a continuous soft pink band.","false","Y","","approved-image","1","2026-09-15"
"kg","symbol","눈표범","A single snow leopard standing on a small snowy rock, with thick grey-white fur, dark rosettes, rounded ears and a long dense tail curving beside its body.","false","N","","approved-image","1","2026-09-15"
"kg","landmark","이식쿨 호수","A single wide Issyk-Kul lake landscape, deep blue water beneath a distant wall of snowy Tien Shan peaks, with a flat pebble beach and two small horses.","false","Y","","approved-image","1","2026-09-15"
"kh","symbol","앙코르와트","A single Angkor Wat temple exterior in warm grey stone, with five distinct lotus-bud towers rising above stepped galleries, broad terraces and a long symmetrical colonnaded base.","false","Y","","approved-image","1","2026-09-15"
"ki","symbol","군함조","A single golden frigatebird flying above two curved blue waves, with long angular wings spread wide, a slender hooked bill and a deeply forked tail pointing backward.","false","Y","","approved-image","1","2026-09-15"
"ki","landmark","섬의 해돋이","A single sunrise beside Caroline Island, a golden half sun emerging above blue sea, a low green island silhouette and a narrow yellow reflection stretching across the water.","false","Y","","approved-image","1","2026-09-15"
"km","symbol","일랑일랑 꽃","One yellow ylang ylang flower hangs from a short green stem, its six long narrow curling petals spreading like a loose star beside two smooth pointed green leaves.","false","N","","approved-image","3","2026-09-15"
"km","landmark","바닷가 초록 호수","One Lac Sale crater viewed obliquely from above contains deep green still water, its round dark rock rim separated from the neighboring bright blue ocean by one narrow rocky ridge.","false","Y","","approved-image","1","2026-09-15"
"kn","symbol","봉황목 꽃나무","A single royal poinciana tree with a low spreading crown, broad clusters of scarlet flowers above fine green leaves and a short brown trunk branching outward.","false","N","","approved-image","1","2026-09-15"
"kp","symbol","목란","A single white magnolia blossom with broad rounded petals spreading around a dark red cluster of stamens, attached to one short twig with two oval green leaves.","false","N","","approved-image","1","2026-09-15"
"kp","landmark","백두산 천지","A single Mount Paektu crater lake, a deep blue oval of water enclosed by steep grey volcanic ridges, with small white snow patches near the rocky rim.","false","Y","","approved-image","1","2026-09-15"
"kr","symbol","김치","A single serving of napa cabbage kimchi, folded pale cabbage leaves coated in red pepper seasoning, with crinkled leafy edges and thick white stems arranged on one plain cream plate.","false","N","","approved-image","1","2026-09-15"
"kr","landmark","광화문","A single Gwanghwamun gate, a wide pale grey stone base pierced by three arched openings, carrying two stacked tiled roofs with deep upward-curving eaves and dark red wooden pillars.","true","N","","approved-image","1","2026-09-15"
"kw","symbol","다우 범선","A single traditional Kuwaiti boom dhow, a curved brown wooden hull with a pointed bow, one tall mast and one broad triangular cream sail stretched above the deck.","false","N","","approved-image","1","2026-09-15"
"kz","symbol","사과","A single round red apple with a small yellow-green patch, a shallow dimple around one short brown stem and one broad green leaf curling sideways.","false","N","","approved-image","1","2026-09-15"
"kz","landmark","야사위 영묘","A single Khoja Ahmed Yasawi mausoleum, a large sandy brick block with one ribbed mint-turquoise dome, a towering rectangular entrance frame and one deep pointed front arch.","false","Y","","approved-image","1","2026-09-15"
"la","symbol","코끼리","A single Asian elephant standing on four sturdy legs, with warm grey skin, a domed forehead, small rounded ears and a long trunk curling gently upward.","false","N","","approved-image","1","2026-09-15"
"la","landmark","꽝시 폭포","A single Kuang Si waterfall landscape, milky pale turquoise water flowing down white limestone steps into shallow rounded pools, framed on both sides by dense dark green jungle.","false","Y","","approved-image","1","2026-09-15"
"lb","symbol","레바논 삼나무","A single mature Lebanon cedar tree, with a thick grey-brown trunk, layered horizontal branches and a broad flat crown of dark green needles spreading widely outward.","false","N","","approved-image","1","2026-09-15"
"lb","landmark","라우셰 바위","Two pale limestone Raouche sea stacks standing in blue water, one large block pierced by a broad natural arch beside one smaller solid rock with a sloping top.","true","Y","","approved-image","1","2026-09-15"
"lc","symbol","피통 쌍둥이 봉우리","A single pair of Piton peaks rising from blue sea, two steep green volcanic spires joined by a low green saddle, one peak slightly taller than the other.","false","N","","approved-image","1","2026-09-15"
"li","symbol","알프스 우표","A single rectangular postage stamp with a deeply perforated cream border, one tiny blue Alpine peak above a green slope and one large plain denomination digit in the upper corner.","false","Y","","approved-image","1","2026-09-15"
"li","landmark","파두츠 성","A single Vaduz Castle, a small low white building with red roofs and one thick square tower, resting above stepped green vineyard terraces with a muted Alpine ridge behind it.","false","Y","","approved-image","1","2026-09-15"
"lk","symbol","실론 홍차","A single white teacup filled with clear amber Ceylon tea, resting on one matching saucer, with one curved handle and a small pair of green tea leaves.","false","N","","approved-image","1","2026-09-15"
"lk","landmark","시기리야","A single Sigiriya rock rising above a compact green jungle, a broad reddish stone monolith with steep rounded walls, a flat summit and small ancient brick foundations on top.","false","Y","","approved-image","1","2026-09-15"
"lr","symbol","고무나무 수액","One brown rubber tree trunk has a shallow diagonal tapping groove, from which a thin line of milky white latex flows into one small dark cup fixed against the bark.","false","N","","approved-image","1","2026-09-15"
"ls","symbol","모코롤로 모자","One pale straw mokorotlo hat forms a tall cone above a narrow round brim, with a pointed knotted loop at its summit and closely woven spiral ridges around its sloping sides.","false","N","","approved-image","1","2026-09-15"
"ls","landmark","지그재그 산길","One Sani Pass dirt road climbs a steep green grassy mountainside through repeated sharp zigzag bends, its brown track reaching a flat high plateau above the clearly visible switchbacks.","false","Y","","approved-image","1","2026-09-15"
"lt","symbol","호박 돌","A single raw amber stone, one irregular translucent golden yellow nugget with rounded broken edges, tiny trapped air bubbles and warm orange patches visible through its softly glowing interior.","false","N","","approved-image","1","2026-09-15"
"lt","landmark","트라카이 성","A single Trakai island castle, red brick walls enclosing a square courtyard, round corner towers beneath red conical roofs and one taller square keep, surrounded by a narrow blue lake.","false","Y","","approved-image","1","2026-09-15"
"lu","symbol","꼬리 둘 빨간 사자","A single red heraldic lion rearing upright, its four clawed legs spread, one small golden crown above its head and a long tail splitting into exactly two curling branches.","false","Y","","approved-image","2","2026-09-15"
"lu","landmark","골짜기 돌다리","A single Luxembourg old town scene, pale stone houses gathered atop a high green cliff above a deep narrow valley crossed by one broad stone bridge with two parallel arches.","true","Y","","approved-image","3","2026-09-15"
"lv","symbol","데이지","A single oxeye daisy on one upright green stem, a broad golden yellow central disk encircled by long narrow white petals, with two small toothed leaves branching below the flower.","false","N","","approved-image","1","2026-09-15"
"lv","landmark","검은머리 전당","A single House of the Blackheads in Riga, a narrow red brick frontage rising through a stepped gable, with gold ornaments, one round golden clock and a small cobbled base.","false","Y","","approved-image","2","2026-09-15"
"ly","symbol","대추야자 열매","One heavy date fruit cluster hangs from branching golden stems, packed with elongated reddish brown dates whose smooth oval surfaces catch warm highlights, without a whole palm tree or desert scene.","false","N","","approved-image","1","2026-09-15"
"ma","symbol","타진 냄비","One warm terracotta tagine pot has a broad shallow circular base and a tall pointed conical lid, topped by a small rounded handle and decorated with a simple unlettered cream band.","false","N","","approved-image","1","2026-09-15"
"ma","landmark","파란 골목","One narrow Chefchaouen alley climbs three short stone steps between small buildings painted entirely in varied blues, with blue arched doorways and plain blue shutters surrounding the gently curving passage.","false","Y","","approved-image","1","2026-09-15"
"mc","symbol","빨간 경주차","A single red racing car with a low narrow body, four exposed black tires, one front wing and one rear wing, an empty cockpit and one plain racing number panel.","false","Y","","approved-image","1","2026-09-15"
"mc","landmark","모나코 요트 항구","A single Monaco harbor basin, seven small white yachts moored closely along a curved stone quay, their slender masts rising above calm blue water and compact pale buildings behind the waterfront.","true","Y","","approved-image","1","2026-09-15"
"md","symbol","포도송이","A single bunch of ripe purple grapes, twenty plump round fruits tapering downward from one curved brown stalk, with two broad green vine leaves and one thin curling tendril.","false","N","","approved-image","1","2026-09-15"
"me","symbol","검은 바위산","A single rugged Montenegro mountain, a jagged charcoal grey rocky peak rising directly behind one narrow strip of deep blue sea, with steep dark ridges and sparse green lower slopes.","false","Y","","approved-image","1","2026-09-15"
"me","landmark","스베티스테판","A single Sveti Stefan island village, tightly clustered pale stone houses with red terracotta roofs covering one small rounded rocky island, connected to the coast by a narrow walkway across turquoise water.","false","Y","","approved-image","1","2026-09-15"
"mg","symbol","고리꼬리 여우원숭이","One ring tailed lemur sits with soft grey fur and a white chest, dark eye patches around golden eyes and one long upright tail clearly striped with alternating black and white rings.","false","N","","approved-image","1","2026-09-15"
"mg","landmark","칭기 바위 숲","One Tsingy limestone formation consists of densely packed pale grey stone blades, their sharp narrow ridges divided by deep dark fissures, with tiny green plants low between the jagged rocky edges.","false","Y","","approved-image","1","2026-09-15"
"mh","symbol","스틱 차트","A single Marshallese stick chart, thin tan wooden rods tied into a rectangular lattice, crossed by curved diagonal sticks and dotted with five small white cowrie shells.","false","Y","","approved-image","1","2026-09-15"
"mk","symbol","빨간 고추 다발","A single bunch of five ripe red peppers, each with a broad shoulder and a long tapering curved tip, their green stems gathered together by one short plain beige string.","false","N","","approved-image","1","2026-09-15"
"mk","landmark","오흐리드 호수","A single Ohrid lakeshore scene, a cluster of white houses with red tiled roofs against a rocky green slope, beside one narrow wooden boardwalk following the edge of clear blue water.","false","Y","","approved-image","1","2026-09-15"
"ml","symbol","보골란 천","One folded bogolan cloth has a soft cream fringe and bold mud brown geometric bands, with small cream dots, dark chevrons and earthy tan blocks visibly painted across the woven fabric.","false","N","","approved-image","1","2026-09-15"
"ml","landmark","젠네 흙 건물","One Djenne earthen building exterior has warm brown walls, three broad tapering towers and rows of short dark timber beams projecting outward, with rounded buttresses and small shaded door openings.","false","Y","","approved-image","1","2026-09-15"
"mm","symbol","타나카","A single thanaka preparation set, pale yellow paste spread across a flat round grey grinding stone, beside one short tan wood section with rough brown bark.","false","N","","approved-image","1","2026-09-15"
"mm","landmark","쉐다곤 파고다","A single Shwedagon pagoda exterior, one large smooth golden bell-shaped stupa rising from broad stepped terraces to a slender pointed spire, with small gold corner structures.","false","Y","","approved-image","1","2026-09-15"
"mn","symbol","게르","A single Mongolian ger, a low round white felt tent with a gently sloping conical roof, one small orange wooden door and dark bands wrapping around its walls.","false","N","","approved-image","1","2026-09-15"
"mn","landmark","고비 사막","A single Gobi Desert landscape, pale golden sand dunes with curved wind ripples and three brown Bactrian camels standing apart, each clearly showing two rounded humps.","false","Y","","approved-image","1","2026-09-15"
"mr","symbol","긴 철광석 기차","One very long iron ore train crosses a narrow sandy strip, a dark diesel locomotive pulling eight connected open brown wagons filled with rough dark ore, all wheels following one continuous track.","false","Y","","approved-image","1","2026-09-15"
"mr","landmark","사하라의 눈","One Richat Structure seen directly from above forms broad concentric rings of pale tan and dark brown rock around a small central circle, embedded within a simple warm sandy circular base.","false","Y","","approved-image","1","2026-09-15"
"mt","symbol","루쭈 나무배","A single Maltese luzzu boat, a rounded wooden hull painted blue, yellow and red, with a raised pointed bow carrying one stylized painted eye on each side and an open interior.","false","Y","","approved-image","1","2026-09-15"
"mu","symbol","도도 새","One dodo stands on two sturdy yellow feet, with a plump grey body, tiny wings, a large curved pale beak ending in a dark hook and a small curled tail tuft.","false","N","","approved-image","1","2026-09-15"
"mu","landmark","일곱 빛깔 흙","One Chamarel earth formation has seven gently rolling bands of red, brown, violet, purple, blue, green and yellow soil, with smooth rounded ridges flowing together across a compact uneven mound.","false","Y","","approved-image","1","2026-09-15"
"mv","symbol","만타가오리","A single manta ray seen from slightly above, with a broad dark blue diamond-shaped body, pale underside edges, two curled head fins and one thin trailing tail.","false","N","","approved-image","1","2026-09-15"
"mv","landmark","산호 모래섬","A single small Maldivian coral sand island, a low crescent of bright white sand surrounded by clear pale turquoise shallows that deepen into emerald blue water.","false","Y","","approved-image","1","2026-09-15"
"mw","symbol","맑은 말라위 호수","One Lake Malawi shoreline seen from above water level has three rounded grey boulders on white sand beside glass clear blue water, with a low distant water horizon and gentle ripples.","false","Y","","approved-image","1","2026-09-15"
"mw","landmark","물란제산","One Mulanje mountain rises abruptly like a massive grey granite wall above flat green tea fields, its upper edge split into several distinct rugged peaks rather than one smooth rounded dome.","false","Y","","approved-image","1","2026-09-15"
"mx","symbol","제왕나비","A single group of five monarch butterflies in flight, each with orange wings crossed by black veins and bordered by black edges dotted with small white spots.","false","N","","approved-image","1","2026-09-15"
"mx","landmark","치첸이트사","A single Chichen Itza pyramid, a broad low square stepped base with one straight central staircase and a small flat temple on top, standing on open green grass.","false","Y","","approved-image","1","2026-09-15"
"my","symbol","히비스커스","A single red hibiscus blossom with five broad overlapping petals, one long central red staminal column tipped with yellow pollen and two pointed glossy green leaves.","false","N","","approved-image","1","2026-09-15"
"mz","symbol","펼친 하얀 책","One open white book lies with two blank pages spread wide, its curved paper edges forming a gentle fan above a plain cream cover and a clear central binding crease.","false","Y","","approved-image","1","2026-09-15"
"na","symbol","웰위치아","One low welwitschia plant has a thick woody central stump and exactly two broad pale green leaves growing outward, each leaf splitting into long curled weathered ribbons close to the sandy ground.","false","Y","","approved-image","1","2026-09-15"
"na","landmark","검은 고목과 흰 땅","One Deadvlei scene shows five bare black trees with twisted branches standing on a flat white clay floor, backed by one tall orange sand dune with a clean curving ridge.","false","Y","","approved-image","1","2026-09-15"
"ne","symbol","공룡 뼈","One pale fossil Nigersaurus skeleton stands on four sturdy legs, with an arched ribcage, long low neck, broad square muzzle and a long tapering tail, displayed whole with gentle simplified bones.","false","Y","","approved-image","1","2026-09-15"
"ne","landmark","쿠레의 기린","One Koure scene shows three pale sandy giraffes walking on four long legs among low thorny shrubs and small millet patches, their irregular tan coat patches visible across the dry Sahel field.","false","Y","","approved-image","2","2026-09-15"
"ng","symbol","겔레 머릿수건","One bright coral gele headwrap is folded into a large layered fan, with crisp curved pleats rising above a rounded hollow base and a neatly gathered fabric knot at the back.","false","N","","approved-image","1","2026-09-15"
"ng","landmark","주마 바위","One Zuma Rock rises vertically from a flat green field as a single massive grey granite monolith, with long dark grooves down one broad side and small trees only around its base.","false","Y","","approved-image","1","2026-09-15"
"ni","symbol","사쿠안호체 꽃","A single white sacuanjoche flower with exactly five broad overlapping petals, each fading into a yellow center, attached to one short stem beside two green leaves.","false","N","","approved-image","1","2026-09-15"
"ni","landmark","오메테페 섬","A single Ometepe island in a broad blue lake, exactly two green volcanic cones joined by a low strip of land, with water clearly surrounding the entire island.","false","N","","approved-image","1","2026-09-15"
"nl","symbol","노란 나막신","A single pair of yellow wooden clogs resting side by side, each with a rounded raised toe, a thick hollow wooden body and one oval foot opening with smooth edges.","false","N","","approved-image","1","2026-09-15"
"nl","landmark","킨더다이크 풍차 한 채","A single Dutch polder windmill, a round brick tower with a thatched conical cap, a small green door with a white frame, and exactly four straight lattice sails arranged in an even cross.","false","N","","approved-image","2","2026-09-15"
"no","symbol","바이킹 나무배","A single Viking longship with a long curved brown wooden hull, one raised dragon-shaped prow, a curling stern and one rectangular cream sail hanging from a central mast.","false","Y","","approved-image","1","2026-09-15"
"no","landmark","게이랑에르 피오르","A single Geirangerfjord landscape, a narrow blue inlet winding between towering green cliffs, thin white waterfalls descending vertically from high rock ledges to the still water far below.","false","Y","","approved-image","1","2026-09-15"
"np","symbol","붉은 만병초","A single cluster of red rhododendron flowers, rounded red trumpet-shaped blooms gathered above broad dark green leathery leaves, with small dark markings inside their open throats.","false","N","","approved-image","1","2026-09-15"
"np","landmark","에베레스트","A single Mount Everest landscape, a high snowy summit above ridged grey slopes and a rocky base camp with five small dome tents in distinctly different solid colors.","false","Y","","approved-image","1","2026-09-15"
"nr","symbol","바다 위 섬","A single small round tropical island viewed obliquely from above, a green center surrounded by one pale sand ring and a broad blue oval of open sea.","false","N","","approved-image","1","2026-09-15"
"nr","landmark","아니바레만","A single Anibare Bay shoreline, three pointed pale coral rocks standing in shallow turquoise water beside a curved white sand beach and a narrow green coastal edge.","false","N","","approved-image","1","2026-09-15"
"nz","symbol","키위 새","A single kiwi bird, a round brown body covered in hairlike feathers, two sturdy feet, tiny hidden wings and one very long slender pale beak pointing toward the ground.","false","N","","approved-image","1","2026-09-15"
"nz","landmark","밀퍼드사운드","A single Milford Sound peak, one steep triangular dark rock rising directly from still blue water, with green lower slopes and a clear pointed summit reflected beneath it.","false","N","","approved-image","1","2026-09-15"
"om","symbol","유향","A single small mound of frankincense resin tears, irregular rounded golden cream nuggets with softly translucent edges and rough pale surfaces, gathered closely without any container.","false","N","","approved-image","1","2026-09-15"
"om","landmark","니즈와 요새","A single Nizwa Fort, one low broad beige stone cylinder with a flat roof, crenellated parapet and nearly windowless walls, surrounded by a compact grove of date palms.","false","Y","","approved-image","1","2026-09-15"
"pa","symbol","몰라 자수천","A single rectangular mola textile with layered red, orange, blue and green cloth, cut into interlocking curved animal shapes and stitched channels with a clear handmade edge.","false","N","","approved-image","1","2026-09-15"
"pa","landmark","파나마 운하","A single Panama Canal lock showing one cargo ship between two straight concrete walls, closed steel gates at one end and adjacent water chambers at different heights.","true","Y","","approved-image","1","2026-09-15"
"pe","symbol","안데스 감자","A single pile of seven whole raw Andean potatoes, with purple, red, yellow and speckled skins, varied knobbly shapes and small dimples, all unpeeled and uncut.","false","N","","approved-image","1","2026-09-15"
"pe","landmark","마추픽추","A single Machu Picchu stone settlement, stepped green terraces and small roofless stone rooms arranged along a ridge below one steep mountain peak partly wrapped in white cloud.","false","Y","","approved-image","1","2026-09-15"
"pg","symbol","극락조","A single bird of paradise perched on one short branch, with a yellow head, brown wings and long golden ornamental plumes flowing downward in two loose curtains.","false","N","","approved-image","1","2026-09-15"
"ph","symbol","지프니","A single Filipino jeepney, a long silver passenger vehicle with a squared hood, bright red and yellow decorative panels, one open rear entrance and round headlights.","false","N","","approved-image","1","2026-09-15"
"ph","landmark","초콜릿 힐즈","A single Chocolate Hills landscape, many smooth rounded chocolate-brown grassy hills repeating across a green plain, their matching conical slopes creating a dense pattern of separate domes.","false","Y","","approved-image","1","2026-09-15"
"pk","symbol","분홍 소금","A single compact mound of Himalayan pink salt, chunky pale rose crystals with angular translucent faces, mixed with small peach-colored grains and a few creamy white pieces.","false","N","","approved-image","1","2026-09-15"
"pk","landmark","케이투","A single K2 mountain, one steep dark charcoal pyramid-shaped peak with sharply defined ridges, narrow white snow streaks and a small icy base beneath the towering summit.","false","Y","","approved-image","1","2026-09-15"
"pl","symbol","피에로기 만두","A single group of three pale golden pierogi dumplings, each shaped like a plump half moon with a curved crimped seam and a smooth gently rounded center, placed together.","false","N","","approved-image","1","2026-09-15"
"pl","landmark","소금 광산","A single Wieliczka salt mine tunnel, a low arched passage of grey rock studded with pale cubic salt crystals, with three rough translucent salt chunks resting on its empty floor.","false","Y","","approved-image","1","2026-09-15"
"pt","symbol","에그타르트","A single Portuguese egg tart, one small round pastry with a golden flaky cup-shaped crust, a pale yellow custard center and uneven dark caramelized patches across its slightly domed top.","false","N","","approved-image","1","2026-09-15"
"pt","landmark","리스본 노란 전차","A single yellow Lisbon tram climbing a short steep cobbled track, its boxy wooden body carrying a rounded cream roof, tall front windows and one overhead pole touching a thin wire.","true","Y","","approved-image","2","2026-09-15"
"pw","symbol","노란 보름달","A single full golden moon, one complete round disk with a few soft ochre crater patches, suspended within a small pale blue sky vignette without rays or crescents.","false","Y","","approved-image","1","2026-09-15"
"pw","landmark","해파리 호수","A single Jellyfish Lake underwater view, seven small golden jellyfish with rounded bells and short trailing arms floating in clear turquoise water beneath a thin green forest rim.","false","N","","approved-image","1","2026-09-15"
"py","symbol","냔두티 레이스","A single round nanduti lace piece with red, yellow, blue and green threads, radiating spokes and concentric web patterns joined into small circular rosettes around its scalloped edge.","false","N","","approved-image","1","2026-09-15"
"qa","symbol","아라비아오릭스","A single Arabian oryx standing on four slender legs, with a white body, dark facial patches, a small black tail and two long straight parallel horns.","false","N","","approved-image","1","2026-09-15"
"qa","landmark","알주바라 요새","A single Al Zubarah Fort, a pale white square enclosure with almost windowless walls, exactly three round corner towers and one square corner tower standing on sand.","false","Y","","approved-image","1","2026-09-15"
"ro","symbol","꽃자수 블라우스","A single Romanian ie blouse, loose white fabric with a gathered neckline and two long wide sleeves, decorated with narrow red and blue floral embroidery bands along its shoulders and cuffs.","false","Y","","approved-image","1","2026-09-15"
"ro","landmark","브란 성","A single Bran Castle, a narrow tall white building with small dark windows and clustered pointed red tiled roofs, rising from a steep hill edged by dark green fir trees.","false","Y","","approved-image","2","2026-09-15"
"rs","symbol","라즈베리","A single cluster of three ripe red raspberries, each rounded berry formed from many small beadlike lobes, joined beside two serrated green leaves and one short curved stem.","false","N","","approved-image","1","2026-09-15"
"rs","landmark","강 위 작은 집","A single Drina River house, one tiny brown wooden cabin with a red pitched roof and one square window, standing alone on a rounded grey rock surrounded by green river water.","false","Y","","approved-image","1","2026-09-15"
"ru","symbol","마트료시카","A single set of three nested wooden matryoshka dolls, rounded egg-shaped bodies in decreasing sizes, painted with red headscarves and simple flowers, the largest opened to reveal its hollow interior.","false","Y","","approved-image","1","2026-09-15"
"ru","landmark","성 바실리 외관","A single Saint Basil's Cathedral exterior, a compact red brick base carrying clustered onion-shaped domes in green, red and golden yellow, with spiral stripes, diamond patterns and narrow arched windows.","true","Y","","approved-image","1","2026-09-15"
"rw","symbol","마운틴고릴라","One mountain gorilla sits calmly with thick dark fur, broad shoulders, long resting arms and a rounded head, its mouth closed gently above two large hands beside a small green fern.","false","Y","","approved-image","1","2026-09-15"
"rw","landmark","언덕 계단밭","One broad Rwandan hillside scene has three rounded green hills carved into many narrow terraces, each band a different green shade, with two tiny red roof houses tucked into a low valley.","false","Y","","approved-image","1","2026-09-15"
"sa","symbol","아라비아표범","A single Arabian leopard standing with a long curved tail, a slim sandy-gold body covered in black rosettes, short fur, rounded ears and a pale cream belly.","false","N","","approved-image","1","2026-09-15"
"sa","landmark","룹알할리 사막","A single Rub al Khali desert landscape, rolling orange sand dunes crossed by a line of three brown dromedary camels, each showing exactly one rounded hump.","false","Y","","approved-image","1","2026-09-15"
"sb","symbol","조개 돈 목걸이","A single looped shell-money necklace made from closely strung white, red and dark brown shell beads, arranged in three parallel strands joined by one small woven fastening.","false","N","","approved-image","1","2026-09-15"
"sb","landmark","마로보 석호","A single Marovo Lagoon vista, a broad calm turquoise inlet sheltered by a long green barrier island, with shallow pale reefs and darker blue water beyond the opening.","false","N","","approved-image","1","2026-09-15"
"sc","symbol","코코드메르 씨앗","One dark brown coco de mer seed is shown directly from above as a broad heart shape, with two rounded joined lobes, a central groove and a rough fibrous outer surface.","false","Y","","approved-image","1","2026-09-15"
"sc","landmark","분홍 바위 해변","One La Digue beach scene has three large rounded pink granite boulders with smooth vertical grooves, resting on bright white sand beside a narrow patch of clear turquoise sea.","false","Y","","approved-image","1","2026-09-15"
"sd","symbol","만나는 두 강","One Nile confluence seen obliquely from above joins a deep blue river and a pale milky river into one wider channel, their two colors remaining distinct just after the meeting point.","false","Y","","approved-image","1","2026-09-15"
"sd","landmark","작은 피라미드 무리","One Meroe scene shows dozens of small narrow sandstone pyramids crowded across a low sandy rise, their steep pointed sides and tightly packed rows contrasting with a few tiny entrance chapels.","false","Y","","approved-image","2","2026-09-15"
"se","symbol","빨간 나무 말","A single red Dala horse carved from wood, a short upright neck, pointed ears and four sturdy legs, decorated with simple white, blue and yellow painted flowers across its smooth body.","false","N","","approved-image","1","2026-09-15"
"se","landmark","스토르토리에트 광장","A single Stortorget square frontage, five narrow tall houses standing shoulder to shoulder in yellow, orange, red and cream, with stepped rooflines above a small dry grey cobbled plaza.","false","Y","","approved-image","1","2026-09-15"
"sg","symbol","반다 난초","A single Vanda Miss Joaquim orchid blossom, with pale violet rounded petals, a deeper purple lower lip and a small warm orange center on one short green stem.","false","N","","approved-image","1","2026-09-15"
"si","symbol","리피자너 말","A single white Lipizzaner horse standing on four strong legs, with a compact muscular body, an arched neck, a short pale mane and a long cream tail hanging behind.","false","Y","","approved-image","1","2026-09-15"
"si","landmark","블레드 호수 섬","A single Bled island, a small green oval of trees surrounded by blue lake water, carrying a tiny pale building with one slim bell tower and a narrow stone stairway.","false","Y","","approved-image","1","2026-09-15"
"sk","symbol","푸야라 피리","A single very long brown fujara flute, one straight wooden tube with exactly three round finger holes near its lower end, joined to one shorter parallel blowing tube by two narrow bands.","false","Y","","approved-image","1","2026-09-15"
"sk","landmark","타트라 초록 호수","A single Strbske Pleso landscape, one small round green lake surrounded by dark fir trees below needle-sharp grey granite peaks, with one tiny brown wooden cabin beside the water.","false","Y","","approved-image","1","2026-09-15"
"sl","symbol","기름야자 열매","One compact oil palm fruit bunch fills the view with tightly packed small oval fruits, each glowing reddish orange with a darker glossy tip, without a tree trunk, leaves or landscape.","false","N","","approved-image","1","2026-09-15"
"sm","symbol","산꼭대기 탑 세 개","A single rocky San Marino ridge carrying exactly three separate pale stone towers, each with a small crenellated top, linked only by the uneven grey mountain beneath their green bases.","false","Y","","approved-image","2","2026-09-15"
"sn","symbol","바오바브나무","One baobab tree has an enormously thick grey brown trunk and short spreading branches that twist upward like roots, with a few small green leaf clusters near the outer branch tips.","false","N","","approved-image","1","2026-09-15"
"sn","landmark","분홍 레트바 호수","One Lake Retba scene contains a broad calm pink water surface, edged by a narrow pale sandy shore, with gentle rose colored ripples and a low smooth distant water horizon.","false","Y","","approved-image","1","2026-09-15"
"so","symbol","혹 하나 낙타","One sandy tan dromedary camel stands on four long padded legs, with exactly one rounded hump, a curved neck, small ears and a calm closed mouth beneath a softly rounded muzzle.","false","N","","approved-image","1","2026-09-15"
"sr","symbol","파야 로비","A single cluster of six red ixora blossoms, each with four broad petals around a small yellow center, branching above two glossy green leaves and one short stem.","false","N","","approved-image","3","2026-09-15"
"ss","symbol","파피루스 풀","One papyrus clump has five tall upright green stems ending in airy umbrella shaped fans, with fine green rays spreading from each top above a small shallow blue marsh patch.","false","Y","","approved-image","1","2026-09-15"
"ss","landmark","코브 대이동","One distant Boma grassland migration shows thousands of tiny ochre antelopes walking in the same direction across dry golden plains, their repeated slim bodies covering the ground in an uninterrupted moving herd.","false","Y","","approved-image","2","2026-09-15"
"st","symbol","칸그란데 바위","One Pico Cao Grande rock needle rises almost vertically above a small green jungle canopy, its narrow dark grey volcanic column ending in a blunt pointed summit with steep shadowed sides.","false","Y","","approved-image","1","2026-09-15"
"sv","symbol","푸푸사","A single thick round pupusa with a golden corn crust and brown toasted patches, one small wedge lifted aside to reveal a pale cheese and bean filling.","false","N","","approved-image","1","2026-09-15"
